signal,family,abs_spearman,abs_pearson,signed_spearman,signed_pearson,n_cells,n_dsets
per_subgroup_ewma[min_neg],subgroup,0.3845064154010774,0.4462704582613213,0.05304316977385392,0.05500329863869827,216,2
global_ewma,global,0.3478413910153777,0.39948959547282037,0.057009656193269684,0.052432757966321394,324,3
global_mean,global,0.34210744847942404,0.42287577311306396,0.05653539381206147,0.04026917311087289,324,3
ks_statistic,baseline,0.33984249183236187,0.4082965744895925,0.04116066643420167,0.03249935196764205,324,3
per_subgroup_ewma[min_pos],subgroup,0.3344938308790754,0.376742666748194,0.04927097016973333,0.045096108558347406,324,3
kl_divergence,baseline,0.33029576145627015,0.36653038927716236,0.05083002070053235,0.05625267630102388,324,3
per_subgroup_ewma[maj_pos],subgroup,0.3282103592043974,0.37882105998026566,0.05329989258817928,0.05200162759812561,324,3
per_subgroup_baseline_relative[maj_pos],subgroup,0.3244453629440579,0.3969998371999109,0.0544944239052322,0.03909477026467065,324,3
per_subgroup_baseline_relative[min_neg],subgroup,0.31846987874902805,0.40438749719911116,0.035825127571066304,0.03720412083386399,216,2
max_subgroup_deviation,subgroup,0.31313065367685405,0.3987479097483742,0.044726739192741075,0.03335204338923057,324,3
per_subgroup_baseline_relative[min_pos],subgroup,0.29436084566983783,0.36623136688855135,0.04235822804589457,0.03491994993611279,324,3
per_subgroup_ewma[maj_neg],subgroup,0.2729647605996487,0.3129435370653593,0.034694090677948215,0.03717265424193294,324,3
global_std,global,0.2647057976879134,0.3233512121705463,0.017416286770435576,0.00672637070508028,324,3
assignment_proportion_drift,subgroup,0.24110211271964443,0.3508998162915282,0.009701131133741086,0.019594409863914128,324,3
per_subgroup_baseline_relative[maj_neg],subgroup,0.21154101741747344,0.2831415045491045,0.02427308886866262,0.02892981971179422,324,3
subgroup_violation_diff,subgroup,0.15572316296923988,0.1879450539832738,-0.007639857134445532,-0.0030273479546328074,324,3
