signal,family,abs_spearman,abs_pearson,signed_spearman,signed_pearson,n_cells,n_dsets
global_ewma,global,0.28228521455974065,0.33322663004422504,0.03522952317289487,0.02759953964268557,162,3
global_mean,global,0.27010057631041895,0.34029425125417667,0.027111171173084696,0.005027164574269433,162,3
per_subgroup_ewma[min_neg],subgroup,0.26380493747757733,0.3091312810622374,0.024575010514281594,0.027988218162982477,108,2
kl_divergence,baseline,0.2615842466120494,0.2989100457122633,0.026921436481741216,0.028684992574300495,162,3
ks_statistic,baseline,0.2612704373059167,0.31793640882248664,0.006838387889428749,-0.01071331023651569,162,3
global_std,global,0.25681048951396984,0.31814306986267965,0.014686066654024313,-0.0061222455247129,162,3
per_subgroup_ewma[min_pos],subgroup,0.25615382970214223,0.2940314920554123,0.02119446528037905,0.019127127631509016,162,3
max_subgroup_deviation,subgroup,0.25545586013796506,0.32015406948942265,0.027143164401661132,0.005616749114431675,162,3
per_subgroup_ewma[maj_pos],subgroup,0.24634605191175798,0.2930219638801176,0.03536998160297985,0.030892918002191825,162,3
per_subgroup_baseline_relative[maj_pos],subgroup,0.24006677914977714,0.2921028760937326,0.031154355516814027,0.011721417900842265,162,3
per_subgroup_baseline_relative[min_pos],subgroup,0.20628250464424738,0.2519830122838852,0.013420276107638882,0.005070343503367312,162,3
assignment_proportion_drift,subgroup,0.1895439476755537,0.25942295700336593,-0.0007887991699639387,-0.009882742541493779,162,3
per_subgroup_baseline_relative[min_neg],subgroup,0.183255617602569,0.2114514970218193,0.0009449335426790812,0.0042913066651249,108,2
per_subgroup_ewma[maj_neg],subgroup,0.17102500492320816,0.19353280180460855,0.0035511668083906315,0.007637418623130382,162,3
subgroup_violation_diff,subgroup,0.15062577106563063,0.1826455767282833,-0.02057017457797127,-0.020146585002445587,162,3
per_subgroup_baseline_relative[maj_neg],subgroup,0.1317896440288772,0.153509181396322,0.0015921183721523513,0.0007232746502143887,162,3
