signal,family,abs_spearman,abs_pearson,signed_spearman,signed_pearson,n_cells,n_dsets
per_subgroup_ewma[min_neg],subgroup,0.5052078933245775,0.583409635460405,0.08151132903342624,0.08201837911441406,108,2
per_subgroup_baseline_relative[min_neg],subgroup,0.4536841398954871,0.5973234973764029,0.07070532159945353,0.07011693500260309,108,2
ks_statistic,baseline,0.41841454635880704,0.4986567401566982,0.0754829449789746,0.0757120141717998,162,3
global_mean,global,0.41411432064842907,0.5054572949719511,0.08595961645103825,0.07551118164747636,162,3
global_ewma,global,0.4133975674710148,0.4657525609014157,0.07878978921364449,0.07726597628995722,162,3
per_subgroup_ewma[min_pos],subgroup,0.41283383205600854,0.45945384144097573,0.07734747505908761,0.07106508948518579,162,3
per_subgroup_ewma[maj_pos],subgroup,0.4100746664970367,0.4646201560804137,0.07122980357337871,0.0731103371940594,162,3
per_subgroup_baseline_relative[maj_pos],subgroup,0.40882394673833866,0.5018967983060891,0.07783449229365039,0.06646812262849902,162,3
kl_divergence,baseline,0.39900727630049093,0.43415073284206135,0.07473860491932349,0.08382036002774727,162,3
per_subgroup_baseline_relative[min_pos],subgroup,0.3824391866954282,0.4804797214932175,0.07129617998415026,0.06476955636885828,162,3
per_subgroup_ewma[maj_neg],subgroup,0.3749045162760892,0.4323542723261101,0.0658370145475058,0.0667078898607355,162,3
max_subgroup_deviation,subgroup,0.3708054472157431,0.4773417500073257,0.062310313983821024,0.06108733766402946,162,3
assignment_proportion_drift,subgroup,0.29266027776373515,0.4423766755796905,0.02019106143744611,0.049071562269322036,162,3
per_subgroup_baseline_relative[maj_neg],subgroup,0.2912923908060698,0.412773827701887,0.046954059365172884,0.05713636477337405,162,3
global_std,global,0.272601105861857,0.32855935447841306,0.020146506886846837,0.019574986934873462,162,3
subgroup_violation_diff,subgroup,0.16082055487284913,0.19324453123826427,0.005290460309080208,0.014091889093179972,162,3
