signal,lr,xgb,mean,spread
per_subgroup_ewma[min_neg],0.34066841911949186,0.42834441168266296,0.38450641540107744,0.0876759925631711
global_ewma,0.29899102465762417,0.3966917573731312,0.3478413910153777,0.09770073271550705
global_mean,0.28932862390554737,0.3948862730533007,0.34210744847942404,0.10555764914775334
ks_statistic,0.28943958356327804,0.39024540010144576,0.3398424918323619,0.10080581653816773
per_subgroup_ewma[min_pos],0.2803443153399088,0.38864334641824205,0.3344938308790754,0.10829903107833327
kl_divergence,0.2896392286586606,0.3709522942538797,0.33029576145627015,0.08131306559521911
per_subgroup_ewma[maj_pos],0.2813858018150133,0.3750349165937814,0.32821035920439734,0.09364911477876808
per_subgroup_baseline_relative[maj_pos],0.27079945566229224,0.37809127022582356,0.3244453629440579,0.10729181456353132
per_subgroup_baseline_relative[min_neg],0.2694353849614755,0.36750437253658064,0.3184698787490281,0.09806898757510513
max_subgroup_deviation,0.2532190965765562,0.3730422107771519,0.31313065367685405,0.11982311420059566
per_subgroup_baseline_relative[min_pos],0.23899610657923803,0.3497255847604376,0.2943608456698378,0.11072947818119955
per_subgroup_ewma[maj_neg],0.24289097200074003,0.3030385491985573,0.2729647605996487,0.0601475771978173
global_std,0.22256599422604254,0.30684560114978426,0.2647057976879134,0.08427960692374173
assignment_proportion_drift,0.17312729266895258,0.30907693277033627,0.24110211271964443,0.1359496401013837
per_subgroup_baseline_relative[maj_neg],0.1840122397160462,0.23906979511890075,0.21154101741747347,0.05505755540285456
subgroup_violation_diff,0.13119585926099145,0.1802504666774883,0.15572316296923988,0.049054607416496865
