signal,subsample,no_subsample,delta
per_subgroup_ewma[maj_pos],0.25325475842054485,0.25748930521716074,-0.00423454679661589
per_subgroup_baseline_relative[min_pos],0.23035641208280855,0.23254863671881795,-0.0021922246360094044
max_subgroup_deviation,0.24535245653268778,0.24686527665921948,-0.0015128201265316998
per_subgroup_ewma[min_pos],0.2760555693694493,0.2753577637784867,0.000697805590962608
per_subgroup_baseline_relative[maj_pos],0.2516769841000628,0.25231866878171016,-0.0006416846816473809
per_subgroup_ewma[maj_neg],0.20605446956083057,0.2054520394682653,0.0006024300925652759
assignment_proportion_drift,0.1802154388488024,0.17967692917362424,0.000538509675178156
global_mean,0.27358826524954577,0.274046339447758,-0.0004580741982122549
per_subgroup_baseline_relative[maj_neg],0.16305234947254482,0.16346027764038726,-0.00040792816784243624
per_subgroup_baseline_relative[min_neg],0.3188195771888462,0.3184707128524717,0.0003488643363744881
per_subgroup_ewma[min_neg],0.3754126757256682,0.3756955908187081,-0.0002829150930399038
subgroup_violation_diff,0.14170441123465133,0.1419018465191212,-0.00019743528446986014
global_ewma,0.2814438238443858,0.28151997351177843,-7.614966739261098e-05
global_std,0.2201068901245708,0.22004844172443055,5.8448400140242995e-05
kl_divergence,0.2720228028686809,0.2720228028686809,0.0
ks_statistic,0.26933424774496934,0.26933424774496934,0.0
