dataset,scenario,model,signal,metric,spearman_mean,spearman_std,pearson_mean,pearson_std,n_seeds_valid
lsac,no_drift,lr,global_mean,DI_star,-0.00575218542382071,0.21309308764142662,-0.02434096642796429,0.20408028683246615,20
lsac,no_drift,lr,global_mean,AOD_star,0.05390977443609022,0.23365744081774853,0.05614745854319077,0.23714308124575642,20
lsac,no_drift,lr,global_mean,BalAcc,0.04864661654135336,0.24650523574776248,0.06492164294426597,0.2292915271599182,20
lsac,no_drift,lr,global_ewma,DI_star,0.06769720233171364,0.28310706306371686,0.04836948746465448,0.2827810260112825,20
lsac,no_drift,lr,global_ewma,AOD_star,0.056616541353383475,0.23730699093883123,0.05278680137990076,0.25109462012721706,20
lsac,no_drift,lr,global_ewma,BalAcc,-0.02383458646616541,0.20530158829425119,-0.034525070004132616,0.20504068995230013,20
lsac,no_drift,lr,global_std,DI_star,-0.040209714177263045,0.21669760449424683,-0.023259119805358098,0.19400672177820702,20
lsac,no_drift,lr,global_std,AOD_star,0.01827067669172932,0.2156315866814075,0.03403055623382865,0.211014671944744,20
lsac,no_drift,lr,global_std,BalAcc,0.01142857142857141,0.23070600043195685,0.027620113083221876,0.21288431304688255,20
lsac,no_drift,lr,subgroup_violation_diff,DI_star,-0.10392422853239691,0.22105091477228953,-0.11512078392509217,0.20787579753820565,20
lsac,no_drift,lr,subgroup_violation_diff,AOD_star,-0.14533834586466166,0.2619544016466067,-0.15180654344580582,0.22849810194126738,20
lsac,no_drift,lr,subgroup_violation_diff,BalAcc,-0.09706766917293234,0.27066811807641245,-0.05866695436978538,0.29120703436588935,20
lsac,no_drift,lr,max_subgroup_deviation,DI_star,-0.03238435049819135,0.24489563366609027,-0.022904812329643844,0.24007464921022972,20
lsac,no_drift,lr,max_subgroup_deviation,AOD_star,0.049548872180451134,0.24880674014129228,0.05223350854307608,0.2662980525146964,20
lsac,no_drift,lr,max_subgroup_deviation,BalAcc,0.045112781954887216,0.1997612912046138,0.03111578933962686,0.20141065435711825,20
lsac,no_drift,lr,assignment_proportion_drift,DI_star,0.07267330838766282,0.22436897870542344,0.06919859590388036,0.21425768152875524,20
lsac,no_drift,lr,assignment_proportion_drift,AOD_star,0.05497173910924587,0.22080741127215445,0.06194267708174679,0.2194410578828682,20
lsac,no_drift,lr,assignment_proportion_drift,BalAcc,0.04789493481683089,0.230240856576962,0.03268865749936794,0.23895157075280557,20
lsac,no_drift,lr,ks_statistic,DI_star,-0.025336041878549587,0.2563793809497842,-0.04489532770102654,0.2582461961247243,20
lsac,no_drift,lr,ks_statistic,AOD_star,-0.030977443609022548,0.29343867864771905,-0.032329974922682345,0.272188220458098,20
lsac,no_drift,lr,ks_statistic,BalAcc,0.02947368421052631,0.19790319245139115,0.0386299497429589,0.20088802894757954,20
lsac,no_drift,lr,kl_divergence,DI_star,-0.013858390648292213,0.20355622511264082,-0.022448611136376327,0.19816290901258898,20
lsac,no_drift,lr,kl_divergence,AOD_star,-0.013984962406015045,0.18527518025633508,-0.024657999895815554,0.18710488999634092,20
lsac,no_drift,lr,kl_divergence,BalAcc,0.04105263157894736,0.22274534754389522,0.05100604197294221,0.20374855751831966,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],DI_star,0.014667856753212999,0.2739688575570782,0.024507050011976,0.26250512696976147,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],AOD_star,0.006917293233082709,0.2244576380381672,0.03156083029560781,0.2245563871426383,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],BalAcc,-0.021428571428571422,0.2160556766244804,-0.0009405415259239596,0.22470516882939032,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],DI_star,-0.06864081353688704,0.21203614374365243,-0.07584451600954381,0.18329720182777826,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],AOD_star,-0.01669172932330826,0.21921898173688467,-0.007955847902331972,0.20723474933456776,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],BalAcc,0.03721804511278195,0.23849115611491337,0.0708839968309382,0.24004334843573594,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],DI_star,-0.00716743022167988,0.2154757109472783,-0.021596501922382196,0.22444461394070195,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],AOD_star,0.010451127819548878,0.2378106345449071,0.027269608296309138,0.24780427713410863,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],BalAcc,-0.022255639097744355,0.2588902507019736,-0.012132724208770455,0.2636960870206286,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],DI_star,-0.033494379963872986,0.1868678606550867,-0.03484865403599917,0.1736003246855265,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],AOD_star,0.01586466165413533,0.24484346798936957,0.010471567783780694,0.22748043708905846,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],BalAcc,-0.0032330827067669154,0.2745031435232975,-0.03175877396569589,0.26289529855701055,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],DI_star,0.05938437892167503,0.33126753797769054,0.08164563581423931,0.3012164212250472,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],AOD_star,0.0412781954887218,0.28446282114489885,0.07887407787274567,0.2840300898967412,20
