dataset,scenario,model,signal,metric,spearman_mean,spearman_std,pearson_mean,pearson_std,n_seeds_valid
lsac,no_drift,lr,global_mean,DI_star,-0.011013614590302817,0.21043675021254163,-0.02661038795269679,0.20246240288282683,20
lsac,no_drift,lr,global_mean,AOD_star,0.04781954887218045,0.22312698649014925,0.05481948183545069,0.23398849396701135,20
lsac,no_drift,lr,global_mean,BalAcc,0.04804511278195488,0.23611631243261794,0.0659159138568898,0.2278729208707702,20
lsac,no_drift,lr,global_ewma,DI_star,0.07108502666209446,0.2800859733447661,0.05303297286145516,0.28411223025753374,20
lsac,no_drift,lr,global_ewma,AOD_star,0.05661654135338344,0.23597060088948088,0.05553339636195461,0.24906615069353402,20
lsac,no_drift,lr,global_ewma,BalAcc,-0.02887218045112781,0.20904127140752893,-0.03589986063991513,0.20457185923890303,20
lsac,no_drift,lr,global_std,DI_star,-0.046753306646817386,0.21482995023813106,-0.024202616836423406,0.19196395960745982,20
lsac,no_drift,lr,global_std,AOD_star,0.01428571428571428,0.21030788883618462,0.03368947275623794,0.20869763902132216,20
lsac,no_drift,lr,global_std,BalAcc,0.01526315789473684,0.23665861133918287,0.02966315701397052,0.21392822504010278,20
lsac,no_drift,lr,subgroup_violation_diff,DI_star,-0.08546695919777396,0.20924610256276696,-0.10981240807925778,0.1991312062057048,20
lsac,no_drift,lr,subgroup_violation_diff,AOD_star,-0.14052631578947367,0.24260513240351791,-0.1550909774653332,0.22502079997139648,20
lsac,no_drift,lr,subgroup_violation_diff,BalAcc,-0.10210526315789473,0.2839179382667203,-0.056820496308727896,0.31276607205757556,20
lsac,no_drift,lr,max_subgroup_deviation,DI_star,0.0013470692270178997,0.24483572193640643,0.0005527138862810446,0.22843136978221928,20
lsac,no_drift,lr,max_subgroup_deviation,AOD_star,0.07360902255639096,0.2535707903925264,0.0735564111715202,0.2564268915660994,20
lsac,no_drift,lr,max_subgroup_deviation,BalAcc,0.045789473684210526,0.24347786081976203,0.050353562736891413,0.23003993642160595,20
lsac,no_drift,lr,assignment_proportion_drift,DI_star,0.08542051251913865,0.2165148856965975,0.07838544876385957,0.20402034688691614,20
lsac,no_drift,lr,assignment_proportion_drift,AOD_star,0.06418356708849518,0.22490245950998947,0.06590562888676924,0.21889069208096568,20
lsac,no_drift,lr,assignment_proportion_drift,BalAcc,0.051753907349883575,0.24391073420615839,0.036428904450793984,0.2541350493099706,20
lsac,no_drift,lr,ks_statistic,DI_star,-0.025336041878549587,0.2563793809497842,-0.044895327701026624,0.2582461961247245,20
lsac,no_drift,lr,ks_statistic,AOD_star,-0.030977443609022548,0.29343867864771905,-0.032329974922682546,0.2721882204580981,20
lsac,no_drift,lr,ks_statistic,BalAcc,0.02947368421052631,0.19790319245139115,0.038629949742958705,0.20088802894757946,20
lsac,no_drift,lr,kl_divergence,DI_star,-0.013858390648292213,0.20355622511264082,-0.02244861113637633,0.198162909012589,20
lsac,no_drift,lr,kl_divergence,AOD_star,-0.013984962406015045,0.18527518025633508,-0.024657999895815543,0.18710488999634092,20
lsac,no_drift,lr,kl_divergence,BalAcc,0.04105263157894736,0.22274534754389522,0.051006041972942215,0.20374855751831966,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],DI_star,0.016963875623130426,0.2682617928169438,0.02399868132311393,0.25954526916068255,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],AOD_star,0.013308270676691719,0.2202339065616647,0.031207115470479878,0.2227984638397473,20
lsac,no_drift,lr,per_subgroup_ewma[min_neg],BalAcc,-0.01398496240601504,0.22012752048663745,0.0013238452716272727,0.23515793875726945,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],DI_star,-0.07961814401749497,0.1911498082576283,-0.0742275403841761,0.17445569174575662,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],AOD_star,-0.021052631578947358,0.19919108277099354,-0.004138751532475546,0.19957489156140573,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_neg],BalAcc,0.04398496240601503,0.24199309735344468,0.08184435229398798,0.23878486106623267,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],DI_star,-0.015369744530279672,0.2049821047551032,-0.026849082254876745,0.21712664339469848,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],AOD_star,0.01105263157894737,0.21663493957199118,0.02056284261487678,0.22778604703254643,20
lsac,no_drift,lr,per_subgroup_ewma[min_pos],BalAcc,-0.02097744360902257,0.25527150705559104,-0.0195438497094882,0.25851093738246955,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],DI_star,-0.028991516272884786,0.1759036439046882,-0.02871367719450486,0.16836122824649183,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],AOD_star,0.005488721804511281,0.23088866705191805,0.010002913029640247,0.2216923769124495,20
lsac,no_drift,lr,per_subgroup_baseline_relative[min_pos],BalAcc,-0.023233082706766918,0.26470799107353665,-0.042230300902608285,0.2551177753219189,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],DI_star,0.053023896236345,0.30826102928828564,0.0831284136705392,0.28766049756361145,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],AOD_star,0.03789473684210526,0.27686068721765533,0.07594914784179649,0.2872823510108018,20
lsac,no_drift,lr,per_subgroup_ewma[maj_neg],BalAcc,0.012932330827067679,0.21704223607486023,-0.02374221534774703,0.22810804498251572,20
lsac,no_drift,lr,per_subgroup_baseline_relative[maj_neg],DI_star,-0.005820896967975144,0.24987921690519227,-0.007241837376919104,0.2258334970916411,20
lsac,no_drift,lr,per_subgroup_baseline_relative[maj_neg],AOD_star,0.03962406015037592,0.2255249465094852,0.06326819137357383,0.23959189470356626,20
lsac,no_drift,lr,per_subgroup_baseline_relative[maj_neg],BalAcc,0.09105263157894736,0.2510321167423763,0.07321967721767578,0.26978758093394906,20
lsac,no_drift,lr,per_subgroup_ewma[maj_pos],DI_star,0.11427384340733811,0.2739612760298708,0.11613442354841974,0.253451460359331,20
lsac,no_drift,lr,per_subgroup_ewma[maj_pos],AOD_star,0.10451127819548871,0.24953957262131937,0.11575107898185859,0.2529255469414683,20
lsac,no_drift,lr,per_subgroup_ewma[maj_pos],BalAcc,-0.0001503759398496167,0.2003535232703556,0.006469677345806802,0.20811156802380082,20
lsac,no_drift,lr,per_subgroup_baseline_relative[maj_pos],DI_star,0.10895271487999589,0.22811029011822276,0.11546162258594364,0.19749519711975658,20
lsac,no_drift,lr,per_subgroup_baseline_relative[maj_pos],AOD_star,0.17015037593984958,0.24914133731379318,0.1659367165196092,0.21468616302912508,20
lsac,no_drift,lr,per_subgroup_baseline_relative[maj_pos],BalAcc,0.03924812030075187,0.25072088951895916,0.04042659167252875,0.261157222807015,20
lsac,no_drift,xgb,global_mean,DI_star,-0.06616541353383457,0.2015497646955245,-0.05442034572143215,0.22254838361896714,20
lsac,no_drift,xgb,global_mean,AOD_star,-0.10210526315789474,0.20212165391823944,-0.08217832848143286,0.21442881501157657,20
lsac,no_drift,xgb,global_mean,BalAcc,-0.035338345864661655,0.17985207582506677,-0.03173056302917751,0.20626826021062747,20
lsac,no_drift,xgb,global_ewma,DI_star,0.06180451127819547,0.2256240020205063,0.05585709081648016,0.23139981291331427,20
lsac,no_drift,xgb,global_ewma,AOD_star,0.008045112781954886,0.20353052928869286,-0.0071760057669437,0.18496452213385725,20
lsac,no_drift,xgb,global_ewma,BalAcc,-0.07150375939849625,0.15191503720510796,-0.04503905934300497,0.15462704918597353,20
lsac,no_drift,xgb,global_std,DI_star,-0.08458646616541352,0.20350530726583957,-0.05453559509313227,0.21356401074673562,20
lsac,no_drift,xgb,global_std,AOD_star,-0.11533834586466166,0.2211723372878931,-0.08657903880949082,0.2166684544010113,20
lsac,no_drift,xgb,global_std,BalAcc,-0.05240601503759399,0.16209401595867284,-0.05123832716886743,0.17194813874382683,20
lsac,no_drift,xgb,subgroup_violation_diff,DI_star,0.029849624060150376,0.22483354185811036,0.021442043128518263,0.22070107654690174,20
lsac,no_drift,xgb,subgroup_violation_diff,AOD_star,-0.02646616541353384,0.22160046687065715,-0.038539399365933355,0.22901425603857317,20
lsac,no_drift,xgb,subgroup_violation_diff,BalAcc,-0.038345864661654135,0.27958017515550937,-0.03348375755058848,0.28164825395622933,20
